noun_w_buah	noun_w_orang	cossim
penyakit	pembunuh	0.35
penyakit	penyelenggara	0.24
penyakit	turunan	0.33
penyakit	pelukis	0.15
penyakit	utusan	0.19
penyakit	pembiayaan	0.29
penyakit	pengacara	0.16
penyakit	perawat	0.25
penyakit	penganut	0.3
penyakit	pengamat	0.16
penyakit	vokalis	0.19
penyakit	jurnalis	0.15
penyakit	penghubung	0.14
penyakit	pesaing	0.23
penyakit	pengawas	0.21
penyakit	penjahat	0.27
penyakit	pelaksana	0.18
penyakit	pembicara	0.14
penyakit	pendengar	0.12
penyakit	pendamping	0.22
penyakit	pewaris	0.2
penyakit	pengungsi	0.26
penyakit	pengendara	0.21
penyakit	pencuri	0.24
penyakit	terdakwa	0.2
penyakit	pebisnis	0.21
penyakit	pemburu	0.23
penyakit	pengawal	0.21
penyakit	penemu	0.22
penyakit	sastrawan	0.14
penyakit	pengemudi	0.14
penyakit	penerjemah	0.09
penyakit	pemandu	0.16
penyakit	tawanan	0.24
penyakit	penegak	0.23
penyakit	penutur	0.13
penyakit	penyihir	0.23
penyakit	pelamar	0.19
penyakit	pemasok	0.2
penyakit	pemikir	0.21
penyakit	saingan	0.23
penyakit	pembimbing	0.17
penyakit	petinggi	0.18
penyakit	pelaut	0.23
penyakit	pengrajin	0.16
penyakit	langganan	0.22
penyakit	pencinta	0.21
penyakit	kenalan	0.25
penyakit	penyidik	0.18
penyakit	pelacur	0.2
penyakit	pengirim	0.18
penyakit	perusak	0.33
penyakit	pendiam	0.24
penyakit	pemeluk	0.24
penyakit	penikmat	0.22
penyakit	pemangku	0.14
penyakit	perampok	0.23
penyakit	pengidap	0.57
penyakit	pesepak	0.2
penyakit	penunjuk	0.1
penyakit	pemuka	0.23
penyakit	pengemis	0.29
penyakit	pemusik	0.19
penyakit	sukarelawan	0.19
penyakit	penerbang	0.18
penyakit	pejalan	0.18
penyakit	petinju	0.3
penyakit	penyandang	0.34
penyakit	penanggung	0.27
penyakit	penolong	0.2
penyakit	jagoan	0.2
penyakit	penembak	0.15
penyakit	penipu	0.26
penyakit	novelis	0.17
penyakit	penyelamat	0.24
penyakit	pendaftar	0.14
penyakit	pelari	0.2
penyakit	pengiring	0.16
penyakit	penata	0.15
penyakit	pengambil	0.13
penyakit	penuntut	0.22
penyakit	pembina	0.19
penyakit	tanggungan	0.27
penyakit	petualang	0.17
penyakit	pencetus	0.42
penyakit	pemangsa	0.29
penyakit	penyebar	0.33
penyakit	pelancong	0.23
penyakit	petarung	0.29
penyakit	pemesan	0.19
penyakit	dermawan	0.22
penyakit	pemeriksa	0.17
penyakit	negarawan	0.15
penyakit	pengukur	0.21
penyakit	penambang	0.16
penyakit	biarawati	0.11
penyakit	pembajak	0.22
penyakit	budayawan	0.08
penyakit	perekam	0.18
penyakit	penyayang	0.23
penyakit	pemukul	0.14
penyakit	perencana	0.22
penyakit	pengumpul	0.17
penyakit	wirausahawan	0.21
penyakit	penangkap	0.18
penyakit	penyelam	0.19
penyakit	pemasar	0.2
penyakit	pemalas	0.23
penyakit	pengecut	0.23
penyakit	penarik	0.18
penyakit	pengembara	0.23
penyakit	gerilyawan	0.18
penyakit	penggagas	0.17
penyakit	penyembah	0.2
penyakit	penilai	0.15
penyakit	penguji	0.17
penyakit	pustakawan	0.16
penyakit	pengunjuk	0.11
penyakit	tamatan	0.13
penyakit	penyembuh	0.46
penyakit	musikus	0.16
penyakit	rohaniwan	0.2
penyakit	pemanah	0.19
penyakit	penyelidik	0.18
penyakit	penampil	0.13
penyakit	peranakan	0.23
penyakit	suruhan	0.1
penyakit	pemudik	0.24
penyakit	titisan	0.22
penyakit	usahawan	0.21
penyakit	pelapor	0.15
penyakit	pemahat	0.15
penyakit	penunggu	0.19
penyakit	penurut	0.18
penyakit	pengusul	0.17
penyakit	pemimpi	0.22
penyakit	penyusup	0.26
penyakit	pemungut	0.16
penyakit	penceramah	0.17
penyakit	penggarap	0.15
penyakit	pengelana	0.22
penyakit	pelupa	0.27
penyakit	perupa	0.16
penyakit	penyendiri	0.22
penyakit	pezina	0.19
penyakit	pemateri	0.18
penyakit	bujangan	0.19
penyakit	penggali	0.17
penyakit	petapa	0.19
penyakit	penukar	0.15
penyakit	penyabar	0.23
penyakit	asongan	0.16
penyakit	pelempar	0.13
penyakit	pemerkosa	0.24
penyakit	pemborong	0.21
penyakit	pendemo	0.17
penyakit	pencerita	0.25
penyakit	penyelundup	0.15
penyakit	penganggur	0.23
penyakit	penggiling	0.19
penyakit	penterjemah	0.09
penyakit	pengulas	0.14
penyakit	penagih	0.23
penyakit	penyintas	0.35
penyakit	pesepeda	0.17
penyakit	hartawan	0.24
penyakit	perumus	0.15
penyakit	pengayom	0.16
penyakit	peniup	0.12
penyakit	penggalang	0.15
penyakit	pembenci	0.31
penyakit	pengkaji	0.19
penyakit	pembebas	0.18
penyakit	pesakitan	0.35
penyakit	pemetik	0.13
penyakit	penjilat	0.19
penyakit	pencabut	0.27
penyakit	pemintal	0.14
penyakit	peramah	0.18
penyakit	pengukir	0.17
penyakit	pengejar	0.24
penyakit	wiraswastawan	0.14
penyakit	pemijat	0.17
penyakit	pemulia	0.24
penyakit	pembatik	0.16
penyakit	penendang	0.21
penyakit	penyimak	0.18
penyakit	pelestari	0.27
penyakit	penjemput	0.15
penyakit	pembaru	0.27
penyakit	pelahap	0.28
penyakit	pesinden	0.17
penyakit	penghayat	0.21
penyakit	pengadu	0.18
penyakit	pemasak	0.2
penyakit	pembobol	0.21
penyakit	penggemblengan	0.25
penyakit	penghasut	0.24
penyakit	penderma	0.27
penyakit	pemaksa	0.19
penyakit	peragu	0.22
penyakit	pengekor	0.22
penyakit	perayu	0.2
penyakit	pendebat	0.22
penyakit	pengintip	0.09
penyakit	ilusionis	0.14
penyakit	penyuara	0.19
penyakit	penghadang	0.23
penyakit	pengasah	0.22
penyakit	penatar	0.18
penyakit	pengutang	0.25
penyakit	pembisik	0.19
penyakit	pengetuk	0.2
penyakit	pemberang	0.39
penyakit	pembesuk	0.28
penyakit	peneguh	0.26
penyakit	padagang	0.31
penyakit	pewirausaha	0.3
penyakit	pencuriga	0.35
penyakit	pengalah	0.28
penyakit	pengalasan	0.26
penyakit	pezikir	0.32
penyakit	pengamuk	0.36
penyakit	pemengaruh	0.34
perusahaan	pemain	0.4
perusahaan	penduduk	0.31
perusahaan	pengguna	0.44
perusahaan	wisatawan	0.25
perusahaan	pasangan	0.29
perusahaan	penulis	0.38
perusahaan	pemimpin	0.45
perusahaan	peserta	0.36
perusahaan	pengunjung	0.3
perusahaan	penderita	0.26
perusahaan	keturunan	0.26
perusahaan	pemilik	0.55
perusahaan	penyanyi	0.36
perusahaan	karyawan	0.68
perusahaan	pelanggan	0.52
perusahaan	perdagangan	0.45
perusahaan	petani	0.36
perusahaan	pekerja	0.57
perusahaan	pemuda	0.32
perusahaan	penumpang	0.31
perusahaan	pimpinan	0.48
perusahaan	pembaca	0.28
perusahaan	pejabat	0.4
perusahaan	pelaku	0.41
perusahaan	peneliti	0.32
perusahaan	pengusaha	0.62
perusahaan	pendukung	0.37
perusahaan	pemenang	0.32
perusahaan	petugas	0.35
perusahaan	perbaikan	0.33
perusahaan	pelatih	0.33
perusahaan	pedagang	0.37
perusahaan	pelajar	0.29
perusahaan	pengurus	0.41
perusahaan	ilmuwan	0.32
perusahaan	pendiri	0.47
perusahaan	angkatan	0.32
perusahaan	sasaran	0.3
perusahaan	pembuat	0.48
perusahaan	penjual	0.44
perusahaan	pengganti	0.28
perusahaan	perwakilan	0.39
perusahaan	lulusan	0.37
perusahaan	pembeli	0.42
perusahaan	penerima	0.32
perusahaan	pemegang	0.51
perusahaan	penyedia	0.55
perusahaan	penjaga	0.28
perusahaan	pencari	0.42
perusahaan	pembawa	0.26
perusahaan	cadangan	0.3
perusahaan	pemeran	0.27
perusahaan	bangsawan	0.22
perusahaan	pembantu	0.33
perusahaan	pengarang	0.3
perusahaan	pengelola	0.5
perusahaan	pejuang	0.25
perusahaan	tahanan	0.21
perusahaan	pengikut	0.23
perusahaan	rombongan	0.25
perusahaan	politikus	0.32
perusahaan	tersangka	0.19
perusahaan	pengajar	0.32
perusahaan	pendidik	0.3
perusahaan	penghuni	0.27
perusahaan	sejarawan	0.27
perusahaan	jajaran	0.4
perusahaan	penari	0.24
perusahaan	pemberi	0.35
perusahaan	pelayan	0.32
perusahaan	penyair	0.2
perusahaan	pendatang	0.34
perusahaan	pembunuh	0.21
perusahaan	penyelenggara	0.45
perusahaan	turunan	0.27
perusahaan	pelukis	0.21
perusahaan	utusan	0.23
perusahaan	pembiayaan	0.44
perusahaan	pengacara	0.36
perusahaan	perawat	0.31
perusahaan	penganut	0.22
perusahaan	pengamat	0.28
perusahaan	vokalis	0.23
perusahaan	jurnalis	0.38
perusahaan	penghubung	0.28
perusahaan	pesaing	0.5
perusahaan	pengawas	0.39
perusahaan	penjahat	0.28
perusahaan	pelaksana	0.36
perusahaan	pembicara	0.31
perusahaan	pendengar	0.24
perusahaan	pendamping	0.23
perusahaan	pewaris	0.29
perusahaan	pengungsi	0.22
perusahaan	pengendara	0.29
perusahaan	pencuri	0.24
perusahaan	terdakwa	0.2
perusahaan	pebisnis	0.51
perusahaan	pemburu	0.27
perusahaan	pengawal	0.3
perusahaan	penemu	0.32
perusahaan	sastrawan	0.21
perusahaan	pengemudi	0.3
perusahaan	penerjemah	0.26
perusahaan	pemandu	0.29
perusahaan	tawanan	0.19
perusahaan	penegak	0.34
perusahaan	penutur	0.2
perusahaan	penyihir	0.18
perusahaan	pelamar	0.44
perusahaan	pemasok	0.53
perusahaan	pemikir	0.29
perusahaan	saingan	0.42
perusahaan	pembimbing	0.21
perusahaan	petinggi	0.45
perusahaan	pelaut	0.27
perusahaan	pengrajin	0.35
perusahaan	langganan	0.32
perusahaan	pencinta	0.25
perusahaan	kenalan	0.34
perusahaan	penyidik	0.3
perusahaan	pelacur	0.22
perusahaan	pengirim	0.35
perusahaan	perusak	0.29
perusahaan	pendiam	0.18
perusahaan	pemeluk	0.24
perusahaan	penikmat	0.27
perusahaan	pemangku	0.35
perusahaan	perampok	0.27
perusahaan	pengidap	0.19
perusahaan	pesepak	0.31
perusahaan	penunjuk	0.2
perusahaan	pemuka	0.25
perusahaan	pengemis	0.24
perusahaan	pemusik	0.33
perusahaan	sukarelawan	0.31
perusahaan	penerbang	0.27
perusahaan	pejalan	0.22
perusahaan	petinju	0.25
perusahaan	penyandang	0.28
perusahaan	penanggung	0.38
perusahaan	penolong	0.25
perusahaan	jagoan	0.21
perusahaan	penembak	0.16
perusahaan	penipu	0.3
perusahaan	novelis	0.28
perusahaan	penyelamat	0.29
perusahaan	pendaftar	0.27
perusahaan	pelari	0.22
perusahaan	pengiring	0.2
perusahaan	penata	0.33
perusahaan	pengambil	0.38
perusahaan	penuntut	0.24
perusahaan	pembina	0.27
perusahaan	tanggungan	0.32
perusahaan	petualang	0.22
perusahaan	pencetus	0.25
perusahaan	pemangsa	0.27
perusahaan	penyebar	0.19
perusahaan	pelancong	0.28
perusahaan	petarung	0.25
perusahaan	pemesan	0.3
perusahaan	dermawan	0.2
perusahaan	pemeriksa	0.32
perusahaan	negarawan	0.23
perusahaan	pengukur	0.31
perusahaan	penambang	0.35
perusahaan	biarawati	0.18
perusahaan	pembajak	0.22
perusahaan	budayawan	0.16
perusahaan	perekam	0.26
perusahaan	penyayang	0.13
perusahaan	pemukul	0.19
perusahaan	perencana	0.38
perusahaan	pengumpul	0.24
perusahaan	wirausahawan	0.45
perusahaan	penangkap	0.25
perusahaan	penyelam	0.25
perusahaan	pemasar	0.51
perusahaan	pemalas	0.18
perusahaan	pengecut	0.21
perusahaan	penarik	0.3
perusahaan	pengembara	0.24
perusahaan	gerilyawan	0.19
perusahaan	penggagas	0.24
perusahaan	penyembah	0.21
perusahaan	penilai	0.34
perusahaan	penguji	0.29
perusahaan	pustakawan	0.3
perusahaan	pengunjuk	0.21
perusahaan	tamatan	0.23
perusahaan	penyembuh	0.14
perusahaan	musikus	0.29
perusahaan	rohaniwan	0.22
perusahaan	pemanah	0.2
perusahaan	penyelidik	0.3
perusahaan	penampil	0.21
perusahaan	peranakan	0.26
perusahaan	suruhan	0.24
perusahaan	pemudik	0.24
perusahaan	titisan	0.09
perusahaan	usahawan	0.5
perusahaan	pelapor	0.37
perusahaan	pemahat	0.24
perusahaan	penunggu	0.18
perusahaan	penurut	0.15
perusahaan	pengusul	0.28
perusahaan	pemimpi	0.21
perusahaan	penyusup	0.22
perusahaan	pemungut	0.27
perusahaan	penceramah	0.19
perusahaan	penggarap	0.35
perusahaan	pengelana	0.18
perusahaan	pelupa	0.1
perusahaan	perupa	0.21
perusahaan	penyendiri	0.19
perusahaan	pezina	0.07
perusahaan	pemateri	0.19
perusahaan	bujangan	0.2
perusahaan	penggali	0.27
perusahaan	petapa	0.16
perusahaan	penukar	0.29
perusahaan	penyabar	0.08
perusahaan	asongan	0.19
perusahaan	pelempar	0.16
perusahaan	pemerkosa	0.2
perusahaan	pemborong	0.39
perusahaan	pendemo	0.26
perusahaan	pencerita	0.21
perusahaan	penyelundup	0.21
perusahaan	penganggur	0.27
perusahaan	penggiling	0.31
perusahaan	penterjemah	0.25
perusahaan	pengulas	0.22
perusahaan	penagih	0.26
perusahaan	penyintas	0.22
perusahaan	pesepeda	0.18
perusahaan	hartawan	0.34
perusahaan	perumus	0.25
perusahaan	pengayom	0.16
perusahaan	peniup	0.19
perusahaan	penggalang	0.29
perusahaan	pembenci	0.13
perusahaan	pengkaji	0.2
perusahaan	pembebas	0.1
perusahaan	pesakitan	0.17
perusahaan	pemetik	0.24
perusahaan	penjilat	0.23
perusahaan	pencabut	0.25
perusahaan	pemintal	0.21
perusahaan	peramah	0.22
perusahaan	pengukir	0.27
perusahaan	pengejar	0.27
perusahaan	wiraswastawan	0.43
perusahaan	pemijat	0.28
perusahaan	pemulia	0.28
perusahaan	pembatik	0.27
perusahaan	penendang	0.21
perusahaan	penyimak	0.22
perusahaan	pelestari	0.28
perusahaan	penjemput	0.22
perusahaan	pembaru	0.26
perusahaan	pelahap	0.16
perusahaan	pesinden	0.09
perusahaan	penghayat	0.18
perusahaan	pengadu	0.26
perusahaan	pemasak	0.3
perusahaan	pembobol	0.3
perusahaan	penggemblengan	0.19
perusahaan	penghasut	0.22
perusahaan	penderma	0.25
perusahaan	pemaksa	0.28
perusahaan	peragu	0.16
perusahaan	pengekor	0.34
perusahaan	perayu	0.21
perusahaan	pendebat	0.2
perusahaan	pengintip	0.21
perusahaan	ilusionis	0.23
perusahaan	penyuara	0.24
perusahaan	penghadang	0.24
perusahaan	pengasah	0.26
perusahaan	penatar	0.21
perusahaan	pengutang	0.39
perusahaan	pembisik	0.19
perusahaan	pengetuk	0.22
perusahaan	pemberang	0.23
perusahaan	pembesuk	0.2
perusahaan	peneguh	0.18
perusahaan	padagang	0.47
perusahaan	pewirausaha	0.48
perusahaan	pencuriga	0.25
perusahaan	pengalah	0.35
perusahaan	pengalasan	0.31
perusahaan	pezikir	0.21
perusahaan	pengamuk	0.27
perusahaan	pemengaruh	0.39
perjalanan	pemain	0.29
perjalanan	penduduk	0.3
perjalanan	pengguna	0.29
perjalanan	wisatawan	0.37
perjalanan	pasangan	0.29
perjalanan	penulis	0.34
perjalanan	pemimpin	0.33
perjalanan	peserta	0.38
perjalanan	pengunjung	0.3
perjalanan	penderita	0.28
perjalanan	keturunan	0.25
perjalanan	pemilik	0.25
perjalanan	penyanyi	0.27
perjalanan	karyawan	0.22
perjalanan	pelanggan	0.29
perjalanan	perdagangan	0.39
perjalanan	petani	0.22
perjalanan	pekerja	0.29
perjalanan	pemuda	0.3
perjalanan	penumpang	0.37
perjalanan	pimpinan	0.28
perjalanan	pembaca	0.27
perjalanan	pejabat	0.26
perjalanan	pelaku	0.29
perjalanan	peneliti	0.23
perjalanan	pengusaha	0.29
perjalanan	pendukung	0.3
perjalanan	pemenang	0.28
perjalanan	petugas	0.32
perjalanan	perbaikan	0.38
perjalanan	pelatih	0.24
perjalanan	pedagang	0.26
perjalanan	pelajar	0.28
perjalanan	pengurus	0.22
perjalanan	ilmuwan	0.21
perjalanan	pendiri	0.29
perjalanan	angkatan	0.27
perjalanan	sasaran	0.26
perjalanan	pembuat	0.25
perjalanan	penjual	0.25
perjalanan	pengganti	0.18
perjalanan	perwakilan	0.24
perjalanan	lulusan	0.22
perjalanan	pembeli	0.26
perjalanan	penerima	0.23
perjalanan	pemegang	0.24
perjalanan	penyedia	0.31
perjalanan	penjaga	0.29
perjalanan	pencari	0.25
perjalanan	pembawa	0.28
perjalanan	cadangan	0.22
perjalanan	pemeran	0.25
perjalanan	bangsawan	0.18
perjalanan	pembantu	0.27
perjalanan	pengarang	0.24
perjalanan	pengelola	0.31
perjalanan	pejuang	0.33
perjalanan	tahanan	0.26
perjalanan	pengikut	0.25
perjalanan	rombongan	0.47
perjalanan	politikus	0.21
perjalanan	tersangka	0.15
perjalanan	pengajar	0.26
perjalanan	pendidik	0.22
perjalanan	penghuni	0.28
perjalanan	sejarawan	0.21
perjalanan	jajaran	0.28
perjalanan	penari	0.19
perjalanan	pemberi	0.23
perjalanan	pelayan	0.24
perjalanan	penyair	0.3
perjalanan	pendatang	0.22
perjalanan	pembunuh	0.22
perjalanan	penyelenggara	0.37
perjalanan	turunan	0.24
perjalanan	pelukis	0.21
perjalanan	utusan	0.3
perjalanan	pembiayaan	0.36
perjalanan	pengacara	0.22
perjalanan	perawat	0.19
perjalanan	penganut	0.21
perjalanan	pengamat	0.26
perjalanan	vokalis	0.15
perjalanan	jurnalis	0.28
perjalanan	penghubung	0.31
perjalanan	pesaing	0.21
perjalanan	pengawas	0.29
perjalanan	penjahat	0.22
perjalanan	pelaksana	0.29
perjalanan	pembicara	0.24
perjalanan	pendengar	0.18
perjalanan	pendamping	0.34
perjalanan	pewaris	0.19
perjalanan	pengungsi	0.27
perjalanan	pengendara	0.36
perjalanan	pencuri	0.24
perjalanan	terdakwa	0.15
perjalanan	pebisnis	0.29
