noun_w_orang_affixed1	noun_w_orang_affixed2	cossim
penduduk	pelarian	0.34
penduduk	pengidap	0.3
penduduk	penunjuk	0.17
penduduk	pemuka	0.4
penduduk	pengemis	0.33
penduduk	pemusik	0.28
penduduk	sukarelawan	0.33
penduduk	penerbang	0.27
penduduk	pejalan	0.35
penduduk	petinju	0.21
penduduk	penyandang	0.28
penduduk	penanggung	0.19
penduduk	penolong	0.26
penduduk	jagoan	0.19
penduduk	penembak	0.18
penduduk	penipu	0.18
penduduk	penyelamat	0.23
penduduk	pendaftar	0.28
penduduk	pelari	0.24
penduduk	pengiring	0.2
penduduk	penata	0.13
penduduk	pengambil	0.19
penduduk	penuntut	0.18
penduduk	pembina	0.15
penduduk	tanggungan	0.3
penduduk	pencetus	0.12
penduduk	pemangsa	0.24
penduduk	penyebar	0.24
penduduk	pemesan	0.17
penduduk	dermawan	0.18
penduduk	pemeriksa	0.17
penduduk	negarawan	0.25
penduduk	pengukur	0.12
penduduk	penambang	0.35
penduduk	pembajak	0.18
penduduk	budayawan	0.24
penduduk	perekam	0.14
penduduk	penyayang	0.15
penduduk	pemukul	0.15
penduduk	perencana	0.3
penduduk	pengumpul	0.19
penduduk	wirausahawan	0.27
penduduk	penangkap	0.21
penduduk	penyelam	0.24
penduduk	pemasar	0.22
penduduk	pemalas	0.17
penduduk	penarik	0.2
penduduk	pengembara	0.35
penduduk	gerilyawan	0.32
penduduk	penggagas	0.1
penduduk	penyembah	0.29
penduduk	penilai	0.16
penduduk	penguji	0.11
penduduk	pengunjuk	0.23
penduduk	penyembuh	0.15
penduduk	rohaniwan	0.31
penduduk	pemanah	0.18
penduduk	penyelidik	0.2
penduduk	penampil	0.2
penduduk	peranakan	0.24
penduduk	suruhan	0.15
penduduk	usahawan	0.3
penduduk	pelapor	0.21
penduduk	pemahat	0.23
penduduk	penunggu	0.22
penduduk	penurut	0.13
penduduk	pengusul	0.19
penduduk	pemimpi	0.25
penduduk	penyusup	0.2
penduduk	pemungut	0.24
penduduk	penceramah	0.13
penduduk	penggarap	0.33
penduduk	pelupa	0.06
penduduk	perupa	0.23
penduduk	penyendiri	0.18
penduduk	pemateri	0.11
penduduk	penggali	0.16
penduduk	penukar	0.23
penduduk	penyabar	0.15
penduduk	pelempar	0.09
penduduk	pemborong	0.24
penduduk	pendemo	0.25
penduduk	pencerita	0.19
penduduk	penyelundup	0.21
penduduk	penganggur	0.38
penduduk	penggiling	0.23
penduduk	pengulas	0.14
penduduk	penagih	0.27
penduduk	hartawan	0.36
penduduk	perumus	0.07
penduduk	peniup	0.11
penduduk	penggalang	0.19
penduduk	pembenci	0.23
penduduk	pengkaji	0.19
penduduk	pembebas	0.21
penduduk	pemetik	0.22
penduduk	penjilat	0.11
penduduk	pencabut	0.18
penduduk	peramah	0.22
penduduk	pengukir	0.21
penduduk	pengejar	0.22
penduduk	pemerah	0.24
penduduk	wiraswastawan	0.29
penduduk	pemulia	0.21
penduduk	penendang	0.18
penduduk	penyimak	0.16
penduduk	pelestari	0.22
penduduk	penjemput	0.2
penduduk	pembaru	0.23
penduduk	penghayat	0.29
penduduk	pengadu	0.22
penduduk	pemasak	0.18
penduduk	pembobol	0.15
penduduk	penggemblengan	0.22
penduduk	penghasut	0.25
penduduk	penderma	0.28
penduduk	pemaksa	0.25
penduduk	peragu	0.1
penduduk	pengekor	0.15
penduduk	perayu	0.12
penduduk	pendebat	0.19
penduduk	penyuara	0.2
penduduk	pemimpinan	0.24
penduduk	penghadang	0.21
penduduk	pengasah	0.19
penduduk	pengutang	0.33
penduduk	pembisik	0.09
penduduk	pengetuk	0.21
penduduk	pemberang	0.32
penduduk	peneguh	0.14
penduduk	pewirausaha	0.26
penduduk	pencuriga	0.25
penduduk	pengalah	0.29
penduduk	pengalasan	0.3
penduduk	pengamuk	0.32
pengguna	wisatawan	0.35
pengguna	penelitian	0.25
pengguna	pasangan	0.31
pengguna	penulis	0.39
pengguna	pemimpin	0.34
pengguna	peserta	0.44
pengguna	pengunjung	0.48
pengguna	penderita	0.39
pengguna	pembelajaran	0.28
pengguna	pelayanan	0.33
pengguna	kehilangan	0.25
pengguna	keturunan	0.2
pengguna	pemilik	0.48
pengguna	penyanyi	0.34
pengguna	karyawan	0.42
pengguna	pelanggan	0.53
pengguna	kelahiran	0.22
pengguna	perdagangan	0.27
pengguna	petani	0.34
pengguna	pekerja	0.43
pengguna	kepercayaan	0.26
pengguna	pemuda	0.34
pengguna	penumpang	0.43
pengguna	pimpinan	0.28
pengguna	pembaca	0.49
pengguna	kekurangan	0.22
pengguna	pejabat	0.36
pengguna	campuran	0.18
pengguna	pelaku	0.42
pengguna	peneliti	0.37
pengguna	pengusaha	0.39
pengguna	pendukung	0.36
pengguna	petunjuk	0.24
pengguna	pemenang	0.23
pengguna	petugas	0.37
pengguna	perbaikan	0.28
pengguna	pelatih	0.28
pengguna	pedagang	0.32
pengguna	pelajar	0.42
pengguna	pengurus	0.44
pengguna	jurusan	0.21
pengguna	ilmuwan	0.35
pengguna	pendiri	0.33
pengguna	angkatan	0.25
pengguna	sasaran	0.31
pengguna	pembuat	0.46
pengguna	penjual	0.38
pengguna	pengganti	0.27
pengguna	perwakilan	0.27
pengguna	lulusan	0.27
pengguna	pembeli	0.48
pengguna	penerima	0.34
pengguna	pergerakan	0.32
pengguna	pemegang	0.39
pengguna	penyedia	0.47
pengguna	penjaga	0.25
pengguna	pencari	0.41
pengguna	pembawa	0.19
pengguna	undangan	0.24
pengguna	cadangan	0.21
pengguna	pemeran	0.3
pengguna	bangsawan	0.25
pengguna	pembantu	0.23
pengguna	pengarang	0.28
pengguna	pengelola	0.42
pengguna	pejuang	0.28
pengguna	tahanan	0.25
pengguna	pengikut	0.4
pengguna	rombongan	0.24
pengguna	pengajar	0.33
pengguna	pendidik	0.3
pengguna	penghuni	0.38
pengguna	pengembang	0.48
pengguna	jajaran	0.34
pengguna	pembuka	0.18
pengguna	penari	0.22
pengguna	pemberi	0.35
pengguna	pelayan	0.24
pengguna	pendatang	0.41
pengguna	pembunuh	0.26
pengguna	penyelenggara	0.33
pengguna	turunan	0.19
pengguna	pelukis	0.21
pengguna	utusan	0.22
pengguna	pembiayaan	0.28
pengguna	pengacara	0.27
pengguna	perawat	0.24
pengguna	penganut	0.3
pengguna	pengamat	0.34
pengguna	penghubung	0.28
pengguna	pesaing	0.31
pengguna	pengawas	0.3
pengguna	penjahat	0.3
pengguna	pelaksana	0.26
pengguna	kebangsaan	0.19
pengguna	pembicara	0.31
pengguna	pengantar	0.25
pengguna	pendengar	0.38
pengguna	pendamping	0.25
pengguna	pewaris	0.17
pengguna	pengungsi	0.23
pengguna	pengendara	0.49
pengguna	pencuri	0.27
pengguna	pemburu	0.3
pengguna	pengawal	0.28
pengguna	penemu	0.31
pengguna	pengemudi	0.43
pengguna	penerjemah	0.33
pengguna	pemandu	0.29
pengguna	tawanan	0.2
pengguna	penegak	0.33
pengguna	penutur	0.38
pengguna	penyihir	0.17
pengguna	pelamar	0.31
pengguna	pemasok	0.35
pengguna	penanda	0.28
pengguna	pemikir	0.27
pengguna	saingan	0.24
pengguna	pembimbing	0.24
pengguna	petinggi	0.37
pengguna	pelaut	0.27
pengguna	pengrajin	0.28
pengguna	langganan	0.35
pengguna	pencinta	0.4
pengguna	kenalan	0.26
pengguna	penyidik	0.26
pengguna	pelacur	0.17
pengguna	pengirim	0.35
pengguna	perusak	0.3
pengguna	pendiam	0.2
pengguna	pemeluk	0.34
pengguna	penikmat	0.48
pengguna	pemangku	0.31
pengguna	perampok	0.17
pengguna	pelarian	0.18
pengguna	pengidap	0.3
pengguna	penunjuk	0.28
pengguna	pemuka	0.31
pengguna	pengemis	0.23
pengguna	pemusik	0.28
pengguna	sukarelawan	0.37
pengguna	penerbang	0.26
pengguna	pejalan	0.44
pengguna	petinju	0.2
pengguna	penyandang	0.33
pengguna	penanggung	0.23
pengguna	penolong	0.28
pengguna	jagoan	0.23
pengguna	penembak	0.22
pengguna	penipu	0.2
pengguna	penyelamat	0.27
pengguna	pendaftar	0.38
pengguna	pelari	0.29
pengguna	pengiring	0.19
pengguna	penata	0.24
pengguna	pengambil	0.39
pengguna	penuntut	0.27
pengguna	pembina	0.28
pengguna	tanggungan	0.2
pengguna	pencetus	0.22
pengguna	pemangsa	0.3
pengguna	penyebar	0.27
pengguna	pemesan	0.35
pengguna	dermawan	0.22
pengguna	pemeriksa	0.35
pengguna	negarawan	0.2
pengguna	pengukur	0.23
pengguna	penambang	0.28
pengguna	pembajak	0.3
pengguna	budayawan	0.2
pengguna	perekam	0.3
pengguna	penyayang	0.17
pengguna	pemukul	0.12
pengguna	perencana	0.31
pengguna	pengumpul	0.27
pengguna	wirausahawan	0.32
pengguna	penangkap	0.25
pengguna	penyelam	0.29
pengguna	pemasar	0.4
pengguna	pemalas	0.19
pengguna	penarik	0.26
pengguna	pengembara	0.31
pengguna	gerilyawan	0.18
pengguna	penggagas	0.22
pengguna	penyembah	0.21
pengguna	penilai	0.28
pengguna	penguji	0.28
pengguna	pengunjuk	0.28
pengguna	penyembuh	0.13
pengguna	rohaniwan	0.33
pengguna	pemanah	0.24
pengguna	penyelidik	0.28
pengguna	penampil	0.27
pengguna	peranakan	0.15
pengguna	suruhan	0.19
pengguna	usahawan	0.34
pengguna	pelapor	0.32
pengguna	pemahat	0.21
pengguna	penunggu	0.23
pengguna	penurut	0.17
pengguna	pengusul	0.36
pengguna	pemimpi	0.21
pengguna	penyusup	0.3
pengguna	pemungut	0.24
pengguna	penceramah	0.2
pengguna	penggarap	0.31
pengguna	pelupa	0.17
pengguna	perupa	0.3
pengguna	penyendiri	0.25
pengguna	pemateri	0.22
pengguna	penggali	0.19
pengguna	penukar	0.18
pengguna	penyabar	0.14
pengguna	pelempar	0.14
pengguna	pemborong	0.22
pengguna	pendemo	0.3
pengguna	pencerita	0.21
pengguna	penyelundup	0.21
pengguna	penganggur	0.26
pengguna	penggiling	0.19
pengguna	pengulas	0.28
pengguna	penagih	0.26
pengguna	hartawan	0.26
pengguna	perumus	0.18
pengguna	peniup	0.11
pengguna	penggalang	0.27
pengguna	pembenci	0.3
pengguna	pengkaji	0.31
pengguna	pembebas	0.16
pengguna	pemetik	0.24
pengguna	penjilat	0.18
pengguna	pencabut	0.26
pengguna	peramah	0.22
pengguna	pengukir	0.19
pengguna	pengejar	0.28
pengguna	pemerah	0.2
pengguna	wiraswastawan	0.27
pengguna	pemulia	0.3
pengguna	penendang	0.17
pengguna	penyimak	0.33
pengguna	pelestari	0.28
pengguna	penjemput	0.25
pengguna	pembaru	0.25
pengguna	penghayat	0.27
pengguna	pengadu	0.24
pengguna	pemasak	0.21
pengguna	pembobol	0.34
pengguna	penggemblengan	0.16
pengguna	penghasut	0.21
pengguna	penderma	0.3
pengguna	pemaksa	0.34
pengguna	peragu	0.14
pengguna	pengekor	0.27
pengguna	perayu	0.21
pengguna	pendebat	0.25
pengguna	penyuara	0.3
pengguna	pemimpinan	0.29
pengguna	penghadang	0.21
pengguna	pengasah	0.23
pengguna	pengutang	0.29
pengguna	pembisik	0.19
pengguna	pengetuk	0.28
pengguna	pemberang	0.22
pengguna	peneguh	0.22
pengguna	pewirausaha	0.35
pengguna	pencuriga	0.28
pengguna	pengalah	0.35
pengguna	pengalasan	0.33
pengguna	pengamuk	0.3
wisatawan	penelitian	0.26
wisatawan	pasangan	0.28
wisatawan	penulis	0.3
wisatawan	pemimpin	0.23
wisatawan	peserta	0.36
wisatawan	pengunjung	0.6
wisatawan	penderita	0.28
wisatawan	pembelajaran	0.19
wisatawan	pelayanan	0.25
wisatawan	kehilangan	0.17
wisatawan	keturunan	0.21
wisatawan	pemilik	0.26
wisatawan	penyanyi	0.31
wisatawan	karyawan	0.31
wisatawan	pelanggan	0.38
wisatawan	kelahiran	0.23
wisatawan	perdagangan	0.24
wisatawan	petani	0.33
wisatawan	pekerja	0.31
wisatawan	kepercayaan	0.26
wisatawan	pemuda	0.33
wisatawan	penumpang	0.41
wisatawan	pimpinan	0.18
wisatawan	pembaca	0.34
wisatawan	kekurangan	0.14
wisatawan	pejabat	0.28
wisatawan	campuran	0.18
wisatawan	pelaku	0.29
wisatawan	peneliti	0.33
wisatawan	pengusaha	0.35
wisatawan	pendukung	0.29
wisatawan	petunjuk	0.19
wisatawan	pemenang	0.22
wisatawan	petugas	0.28
wisatawan	perbaikan	0.16
wisatawan	pelatih	0.26
wisatawan	pedagang	0.36
wisatawan	pelajar	0.39
wisatawan	pengurus	0.21
wisatawan	jurusan	0.2
wisatawan	ilmuwan	0.3
wisatawan	pendiri	0.17
wisatawan	angkatan	0.19
wisatawan	sasaran	0.21
wisatawan	pembuat	0.2
wisatawan	penjual	0.29
wisatawan	pengganti	0.16
wisatawan	perwakilan	0.32
wisatawan	lulusan	0.24
wisatawan	pembeli	0.38
wisatawan	penerima	0.21
wisatawan	pergerakan	0.22
wisatawan	pemegang	0.2
wisatawan	penyedia	0.23
wisatawan	penjaga	0.2
wisatawan	pencari	0.32
wisatawan	pembawa	0.18
wisatawan	undangan	0.27
wisatawan	cadangan	0.14
wisatawan	pemeran	0.24
wisatawan	bangsawan	0.27
wisatawan	pembantu	0.15
wisatawan	pengarang	0.27
wisatawan	pengelola	0.29
wisatawan	pejuang	0.27
wisatawan	tahanan	0.17
wisatawan	pengikut	0.23
wisatawan	rombongan	0.38
wisatawan	pengajar	0.29
wisatawan	pendidik	0.28
wisatawan	penghuni	0.3
wisatawan	pengembang	0.21
wisatawan	jajaran	0.21
wisatawan	pembuka	0.1
wisatawan	penari	0.3
wisatawan	pemberi	0.14
wisatawan	pelayan	0.22
wisatawan	pendatang	0.4
wisatawan	pembunuh	0.19
wisatawan	penyelenggara	0.2
wisatawan	turunan	0.1
wisatawan	pelukis	0.24
wisatawan	utusan	0.26
wisatawan	pembiayaan	0.21
wisatawan	pengacara	0.2
wisatawan	perawat	0.2
wisatawan	penganut	0.26
wisatawan	pengamat	0.33
wisatawan	penghubung	0.19
wisatawan	pesaing	0.25
wisatawan	pengawas	0.15
wisatawan	penjahat	0.24
wisatawan	pelaksana	0.15
wisatawan	kebangsaan	0.19
wisatawan	pembicara	0.2
wisatawan	pengantar	0.25
wisatawan	pendengar	0.25
wisatawan	pendamping	0.2
wisatawan	pewaris	0.15
wisatawan	pengungsi	0.31
wisatawan	pengendara	0.34
wisatawan	pencuri	0.21
wisatawan	pemburu	0.29
wisatawan	pengawal	0.16
wisatawan	penemu	0.2
wisatawan	pengemudi	0.28
wisatawan	penerjemah	0.27
wisatawan	pemandu	0.36
wisatawan	tawanan	0.22
wisatawan	penegak	0.18
wisatawan	penutur	0.33
wisatawan	penyihir	0.18
wisatawan	pelamar	0.24
wisatawan	pemasok	0.25
wisatawan	penanda	0.17
wisatawan	pemikir	0.25
wisatawan	saingan	0.18
wisatawan	pembimbing	0.18
wisatawan	petinggi	0.23
wisatawan	pelaut	0.32
wisatawan	pengrajin	0.29
wisatawan	langganan	0.24
wisatawan	pencinta	0.31
wisatawan	kenalan	0.23
wisatawan	penyidik	0.2
wisatawan	pelacur	0.21
wisatawan	pengirim	0.21
wisatawan	perusak	0.13
wisatawan	pendiam	0.14
wisatawan	pemeluk	0.31
wisatawan	penikmat	0.38
wisatawan	pemangku	0.23
wisatawan	perampok	0.23
wisatawan	pelarian	0.31
wisatawan	pengidap	0.16
wisatawan	penunjuk	0.23
wisatawan	pemuka	0.26
wisatawan	pengemis	0.2
wisatawan	pemusik	0.25
wisatawan	sukarelawan	0.24
wisatawan	penerbang	0.27
wisatawan	pejalan	0.4
wisatawan	petinju	0.22
wisatawan	penyandang	0.24
wisatawan	penanggung	0.11
wisatawan	penolong	0.14
wisatawan	jagoan	0.17
wisatawan	penembak	0.18
wisatawan	penipu	0.14
wisatawan	penyelamat	0.25
wisatawan	pendaftar	0.24
wisatawan	pelari	0.23
wisatawan	pengiring	0.21
wisatawan	penata	0.13
wisatawan	pengambil	0.17
wisatawan	penuntut	0.18
wisatawan	pembina	0.14
wisatawan	tanggungan	0.13
wisatawan	pencetus	0.16
wisatawan	pemangsa	0.23
wisatawan	penyebar	0.19
wisatawan	pemesan	0.29
wisatawan	dermawan	0.17
wisatawan	pemeriksa	0.19
wisatawan	negarawan	0.19
wisatawan	pengukur	0.12
wisatawan	penambang	0.3
wisatawan	pembajak	0.21
wisatawan	budayawan	0.32
wisatawan	perekam	0.1
wisatawan	penyayang	0.14
wisatawan	pemukul	0.09
wisatawan	perencana	0.25
wisatawan	pengumpul	0.19
wisatawan	wirausahawan	0.28
wisatawan	penangkap	0.17
wisatawan	penyelam	0.37
wisatawan	pemasar	0.27
wisatawan	pemalas	0.1
wisatawan	penarik	0.29
wisatawan	pengembara	0.26
wisatawan	gerilyawan	0.28
wisatawan	penggagas	0.18
wisatawan	penyembah	0.25
wisatawan	penilai	0.24
wisatawan	penguji	0.15
